type,name
section,برنامج دقيقة قدرات
lesson,محاضرة (1) 00:59
lesson,محاضرة (2) 00:59
lesson,محاضرة (3) 00:59
lesson,محاضرة (4) 00:46
lesson,محاضرة (5) 00:58
lesson,محاضرة (6) 02:33
lesson,محاضرة (7) 01:18
lesson,محاضرة (8) 03:32
lesson,محاضرة (9) 02:32
lesson,محاضرة (10) 03:57
lesson,محاضرة (11) 03:21
lesson,محاضرة (12) 04:45
lesson,محاضرة (13) 02:29
lesson,محاضرة (14) 04:29
lesson,محاضرة (15) 04:16
lesson,محاضرة (16) 04:40
lesson,محاضرة (17) 04:29
lesson,محاضرة (18) 05:12
lesson,محاضرة (19) 04:34
lesson,محاضرة (20) 05:43
lesson,محاضرة (21) 05:42
lesson,محاضرة (22) 05:06
lesson,محاضرة (23) 04:34
lesson,محاضرة (24) 05:48
lesson,محاضرة (25) 05:50
lesson,محاضرة (26) 07:04
lesson,محاضرة (27) 06:09
lesson,محاضرة (28) 05:54
lesson,محاضرة (29) 06:06
lesson,محاضرة (30) 06:19
lesson,محاضرة (31) 06:05
lesson,محاضرة (32) 05:03
lesson,محاضرة (33) 04:23
lesson,محاضرة (34) 04:30
lesson,محاضرة (35) 04:49
lesson,محاضرة (36) 04:48
lesson,محاضرة (37) 02:06
lesson,محاضرة (38) 01:12
lesson,محاضرة (39) 03:43
lesson,محاضرة (40) 02:38
lesson,محاضرة (41) 02:13
lesson,محاضرة (42) 02:27
lesson,محاضرة (43) 03:08
lesson,محاضرة (44) 02:41
lesson,محاضرة (45) 02:08
lesson,محاضرة (46) 02:37
lesson,محاضرة (47) 03:10
lesson,محاضرة (48) 03:01
lesson,محاضرة (49) 03:16
lesson,محاضرة (50) 03:51
lesson,محاضرة (51) 03:10
lesson,محاضرة (52) 02:46
lesson,محاضرة (53) 02:23
lesson,محاضرة (54) 02:30
lesson,محاضرة (55) 03:10
lesson,محاضرة (56) 02:22
lesson,محاضرة (57) 04:20
lesson,محاضرة (58) 07:12
lesson,محاضرة (59) 04:10
lesson,محاضرة (60) 01:07
lesson,محاضرة (61) 02:35
lesson,محاضرة (62) 03:14
lesson,محاضرة (63) 02:36
section,الدورة التدريبية (الأولى)
lesson,محاضرة (1) 36:22
lesson,محاضرة (2) 17:27
lesson,محاضرة (3) 29:53
lesson,محاضرة (4) 25:50
lesson,محاضرة (5) 23:56
lesson,محاضرة (6) 29:00
lesson,محاضرة (7) 14:40
lesson,محاضرة (8) 09:28
lesson,محاضرة (9) 12:11
lesson,محاضرة (10) 08:51
lesson,محاضرة (11) 11:33
lesson,محاضرة (12) 14:59
lesson,محاضرة (13) 10:29
lesson,محاضرة (14) 10:25
lesson,محاضرة (15) 09:21
lesson,محاضرة (16) 11:39
lesson,محاضرة (17) 09:58
lesson,محاضرة (18) 10:38
lesson,محاضرة (19) 11:08
lesson,محاضرة (20) 13:08
section,الدورة التدريبية (الثانية)
lesson,محاضرة (1) 01:03:40
lesson,محاضرة (2) 01:09:44
lesson,محاضرة (3) 01:08:41
lesson,محاضرة (4) 01:08:23
lesson,محاضرة (5) 58:25
lesson,محاضرة (6) 01:05:37
lesson,محاضرة (7) 01:03:40
lesson,محاضرة (8) 01:13:54
lesson,محاضرة (9) 01:01:35
lesson,محاضرة (10) 01:05:39
lesson,محاضرة (11) 01:06:48
lesson,محاضرة (12) 01:09:37
lesson,محاضرة (13) 01:10:31
lesson,محاضرة (14) 01:05:30
lesson,محاضرة (15) 01:05:30
lesson,محاضرة (16) 01:05:07
lesson,محاضرة (17) 58:07
lesson,محاضرة (18) 58:18
lesson,محاضرة (19) 48:52
lesson,محاضرة (20) 59:03
lesson,محاضرة (21) 01:05:33
lesson,محاضرة (22) 56:25
lesson,محاضرة (23) 59:21
lesson,محاضرة (24) 01:04:20
lesson,محاضرة (25) 01:02:02
lesson,محاضرة (26) 01:03:45
lesson,محاضرة (27) 01:01:09
lesson,محاضرة (28) 45:32
lesson,محاضرة (29) 29:17
lesson,محاضرة (30) 28:19
